day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio
2017-01-20,0,12,1,13,0.07692307692307693,0.0,0.9230769230769231
2017-01-21,0,1,2,3,0.6666666666666666,0.0,0.3333333333333333
2017-01-22,1,1,2,4,0.5,0.25,0.25
2017-01-23,0,1,0,1,0.0,0.0,1.0
2017-01-24,0,3,1,4,0.25,0.0,0.75
2017-01-25,1,7,0,8,0.0,0.125,0.875
2017-01-26,2,8,1,11,0.09090909090909091,0.18181818181818182,0.7272727272727273
2017-01-27,0,6,1,7,0.14285714285714285,0.0,0.8571428571428571
2017-01-28,2,3,0,5,0.0,0.4,0.6
2017-01-29,2,4,1,7,0.14285714285714285,0.2857142857142857,0.5714285714285714
2017-01-30,0,6,1,7,0.14285714285714285,0.0,0.8571428571428571
2017-01-31,0,3,0,3,0.0,0.0,1.0
2017-02-01,1,2,1,4,0.25,0.25,0.5
2017-02-02,0,7,1,8,0.125,0.0,0.875
2017-02-03,1,3,3,7,0.42857142857142855,0.14285714285714285,0.42857142857142855
2017-02-04,3,5,1,9,0.1111111111111111,0.3333333333333333,0.5555555555555556
2017-02-05,1,3,2,6,0.3333333333333333,0.16666666666666666,0.5
2017-02-06,1,4,1,6,0.16666666666666666,0.16666666666666666,0.6666666666666666
2017-02-07,3,2,0,5,0.0,0.6,0.4
2017-02-08,1,7,3,11,0.2727272727272727,0.09090909090909091,0.6363636363636364
2017-02-09,1,7,0,8,0.0,0.125,0.875
2017-02-10,0,3,0,3,0.0,0.0,1.0
2017-02-11,0,8,1,9,0.1111111111111111,0.0,0.8888888888888888
2017-02-12,0,8,1,9,0.1111111111111111,0.0,0.8888888888888888
2017-02-13,0,3,0,3,0.0,0.0,1.0
2017-02-14,1,5,0,6,0.0,0.16666666666666666,0.8333333333333334
2017-02-15,3,8,0,11,0.0,0.2727272727272727,0.7272727272727273
2017-02-16,2,1,3,6,0.5,0.3333333333333333,0.16666666666666666
2017-02-17,0,6,2,8,0.25,0.0,0.75
2017-02-18,0,4,0,4,0.0,0.0,1.0
2017-02-19,0,1,0,1,0.0,0.0,1.0
2017-02-20,0,3,1,4,0.25,0.0,0.75
2017-02-21,0,3,0,3,0.0,0.0,1.0
2017-02-22,0,1,1,2,0.5,0.0,0.5
2017-02-23,0,1,0,1,0.0,0.0,1.0
2017-02-24,3,3,0,6,0.0,0.5,0.5
2017-02-25,1,4,2,7,0.2857142857142857,0.14285714285714285,0.5714285714285714
2017-02-26,1,3,0,4,0.0,0.25,0.75
2017-02-27,0,1,1,2,0.5,0.0,0.5
2017-02-28,0,1,0,1,0.0,0.0,1.0
2017-03-01,0,2,0,2,0.0,0.0,1.0
2017-03-02,0,0,1,1,1.0,0.0,0.0
2017-03-03,1,11,1,13,0.07692307692307693,0.07692307692307693,0.8461538461538461
2017-03-04,1,6,0,7,0.0,0.14285714285714285,0.8571428571428571
2017-03-05,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666
2017-03-06,0,2,2,4,0.5,0.0,0.5
2017-03-07,2,4,2,8,0.25,0.25,0.5
2017-03-08,0,3,3,6,0.5,0.0,0.5
2017-03-09,0,0,4,4,1.0,0.0,0.0
2017-03-10,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
2017-03-11,0,0,1,1,1.0,0.0,0.0
2017-03-12,0,1,0,1,0.0,0.0,1.0
2017-03-13,1,2,2,5,0.4,0.2,0.4
2017-03-14,0,0,2,2,1.0,0.0,0.0
2017-03-15,0,5,2,7,0.2857142857142857,0.0,0.7142857142857143
2017-03-16,0,4,3,7,0.42857142857142855,0.0,0.5714285714285714
2017-03-17,1,7,1,9,0.1111111111111111,0.1111111111111111,0.7777777777777778
2017-03-18,0,2,0,2,0.0,0.0,1.0
2017-03-19,0,1,0,1,0.0,0.0,1.0
2017-03-20,1,4,2,7,0.2857142857142857,0.14285714285714285,0.5714285714285714
2017-03-21,0,1,3,4,0.75,0.0,0.25
2017-03-22,0,0,1,1,1.0,0.0,0.0
2017-03-23,0,5,2,7,0.2857142857142857,0.0,0.7142857142857143
2017-03-24,0,2,2,4,0.5,0.0,0.5
2017-03-25,0,2,2,4,0.5,0.0,0.5
2017-03-26,0,0,1,1,1.0,0.0,0.0
2017-03-27,0,0,1,1,1.0,0.0,0.0
2017-03-28,0,7,3,10,0.3,0.0,0.7
