date,price,term
2017-01-20,197.42344665527344,term1
2017-01-23,196.9097137451172,term1
2017-01-24,198.17222595214844,term1
2017-01-25,199.8875274658203,term1
2017-01-26,199.67857360839844,term1
2017-01-27,199.36508178710938,term1
2017-01-30,198.128662109375,term1
2017-01-31,198.11123657226562,term1
2017-02-01,198.18966674804688,term1
2017-02-02,198.32022094726562,term1
2017-02-03,199.68727111816406,term1
2017-02-06,199.3302459716797,term1
2017-02-07,199.33897399902344,term1
2017-02-08,199.60020446777344,term1
2017-02-09,200.78428649902344,term1
2017-02-10,201.57669067382812,term1
2017-02-13,202.67381286621094,term1
2017-02-14,203.48350524902344,term1
2017-02-15,204.54574584960938,term1
2017-02-16,204.37164306640625,term1
2017-02-17,204.6938018798828,term1
2017-02-21,205.9127960205078,term1
2017-02-22,205.72996520996094,term1
2017-02-23,205.86923217773438,term1
2017-02-24,206.13047790527344,term1
2017-02-27,206.45263671875,term1
2017-02-28,205.89535522460938,term1
2017-03-01,208.77740478515625,term1
2017-03-02,207.46263122558594,term1
2017-03-03,207.59326171875,term1
2017-03-06,206.97508239746094,term1
2017-03-07,206.35684204101562,term1
2017-03-08,205.97372436523438,term1
2017-03-09,206.23497009277344,term1
2017-03-10,206.9576416015625,term1
2017-03-13,207.0620880126953,term1
2017-03-14,206.269775390625,term1
2017-03-15,208.0547637939453,term1
2017-03-16,207.6454620361328,term1
2017-03-17,207.28082275390625,term1
2017-03-20,207.05345153808594,term1
2017-03-21,204.39501953125,term1
2017-03-22,204.87594604492188,term1
2017-03-23,204.65736389160156,term1
2017-03-24,204.50868225097656,term1
2017-03-27,204.298828125,term1
2017-03-28,205.7854461669922,term1
2017-03-29,205.97784423828125,term1
2017-03-30,206.6336669921875,term1
2017-03-31,206.1527099609375,term1
2017-04-03,205.79420471191406,term1
2017-04-04,205.92535400390625,term1
2017-04-05,205.31324768066406,term1
2017-04-06,205.89035034179688,term1
2017-04-07,205.6804962158203,term1
2017-04-10,205.8029327392578,term1
2017-04-11,205.5580596923828,term1
2017-04-12,204.65736389160156,term1
2017-04-13,203.32809448242188,term1
2017-04-17,205.12960815429688,term1
2017-04-18,204.51739501953125,term1
2017-04-19,204.1414337158203,term1
2017-04-20,205.8029327392578,term1
2017-04-21,205.1470489501953,term1
2017-04-24,207.40325927734375,term1
2017-04-25,208.6100616455078,term1
2017-04-26,208.4788818359375,term1
2017-04-27,208.65377807617188,term1
2017-04-28,208.1990966796875,term1
2017-05-01,208.72373962402344,term1
2017-05-02,208.8024444580078,term1
2017-05-03,208.54881286621094,term1
2017-05-04,208.79371643066406,term1
2017-05-05,209.61569213867188,term1
2017-05-08,209.5807647705078,term1
2017-05-09,209.3883514404297,term1
2017-05-10,209.76438903808594,term1
2017-05-11,209.33587646484375,term1
2017-05-12,208.98606872558594,term1
2017-05-15,210.14041137695312,term1
2017-05-16,209.94805908203125,term1
2017-05-17,206.22268676757812,term1
2017-05-18,207.05345153808594,term1
2017-05-19,208.40013122558594,term1
2017-05-22,209.45828247070312,term1
2017-05-23,209.9218292236328,term1
2017-05-24,210.41151428222656,term1
2017-05-25,211.4171600341797,term1
2017-05-26,211.37344360351562,term1
2017-05-30,211.18980407714844,term1
2017-05-31,211.13734436035156,term1
2017-06-01,212.8163604736328,term1
2017-06-02,213.52464294433594,term1
2017-06-05,213.36727905273438,term1
2017-06-06,212.6851806640625,term1
